Model,Price,Rating,Display,Warranty,graphic_card,Company,touchscreen,Gen_type,Ram_in_gb,Disk_drive,Processor_Name,processor_type,Operating_System
acer Aspire 7 Core i5 9th Gen ,49990,4.4,39.62 cm (15.6 inch) Display,1 Year International Travelers Warranty (ITW),Yes,Acer,No,9,8,SSD,Intel,i5,Windows 10
HP 15s Ryzen 3 Dual Core 3250U ,33990,4.2,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,No,HP,No,Not Mentioned,8,HDD,AMD,Ryzen 3,Windows 10
Lenovo Ideapad S145 Ryzen 3 Dual Core 3200U ,27990,4.2,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,No,Lenovo,No,Not Mentioned,4,HDD,AMD,Ryzen 3,Windows 10
HP 14s Ryzen 3 Quad Core 4300U ,36990,4.7,35.56 cm (14 Inches) Display,1 Year Onsite Warranty,No,HP,No,Not Mentioned,8,SSD,AMD,Ryzen 3,Windows 10
Lenovo Legion 5 Ryzen 5 Hexa Core 4600H ,63990,4.5,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,Yes,Lenovo,No,Not Mentioned,8,SSD,AMD,Ryzen 5,Windows 10
acer Aspire 3 Ryzen 3 Dual Core 3300U ,25990,4.1,39.62 cm (15.6 inches) Display,1 Year International Travelers Warranty (ITW),No,Acer,No,Not Mentioned,4,HDD,AMD,Ryzen 3,Windows 10
HP 14s Ryzen 5 Quad Core 3500U 3rd Gen ,43990,4.4,35.56 cm (14 inch) Display,1 Year Onsite Warranty,No,HP,No,3,8,Both,AMD,Ryzen 5,Windows 10
HP Pavilion Gaming Ryzen 5 Quad Core 3550H ,49990,4.2,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,Yes,HP,No,Not Mentioned,8,HDD,AMD,Ryzen 5,Windows 10
HP 14s Core i3 10th Gen ,35990,4.2,35.56 cm (14 inch) Display,1 Year Onsite Warranty,No,HP,No,10,8,SSD,Intel,i3,Windows 10
Lenovo Ideapad S145 Ryzen 3 Dual Core 3200U ,25990,4.0,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,No,Lenovo,No,Not Mentioned,4,HDD,AMD,Ryzen 3,Windows 10
ASUS VivoBook 14 Ryzen 5 Hexa Core 4500U ,46990,4.5,35.56 cm (14 inch) Display,1 Year Onsite Warranty,No,Asus,No,Not Mentioned,8,SSD,AMD,Ryzen 5,Windows 10
HP Pavilion Gaming Ryzen 5 Quad Core 3550H ,54990,4.5,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,Yes,HP,No,Not Mentioned,8,SSD,AMD,Ryzen 5,Windows 10
HP 15s Ryzen 3 Dual Core 3250U ,39990,4.4,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,No,HP,No,Not Mentioned,8,Both,AMD,Ryzen 3,Windows 10
ASUS VivoBook 14 Ryzen 5 Hexa Core 4500U ,46990,4.4,35.56 cm (14 inch) Display,1 Year Onsite Warranty,No,Asus,No,Not Mentioned,8,SSD,AMD,Ryzen 5,Windows 10
HP 14s Celeron Dual Core ,25990,4.0,35.56 cm (14 Inches) Display,1 Year Onsite Warranty,No,HP,No,Not Mentioned,8,SSD,Intel,Celeron,Windows 10
ASUS Core i5 10th Gen ,49990,4.3,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,Yes,Asus,No,10,8,SSD,Intel,i5,Windows 10
Lenovo Ideapad Flex 5 Ryzen 5 Hexa Core 4500U 4th Gen ,56990,5.0,35.56 cm (14 inch) Touchscreen Display,1 Year Onsite Warranty,No,Lenovo,Yes,4,8,SSD,AMD,Ryzen 5,Windows 10
HP Pavilion x360 Core i3 10th Gen ,47990,4.4,35.56 cm (14 inch) Touchscreen Display,1 Year Onsite Warranty,No,HP,Yes,10,8,SSD,Intel,i3,Windows 10
Mi Notebook 14 Core i5 10th Gen ,41999,4.3,35.56 cm (14 inch) Display,1 Year Manufacturer Warranty from the Date of Purchase,No,Asus,No,10,8,SSD,Intel,i5,Windows 10
acer Aspire 7 Ryzen 5 Hexa Core 5500U ,55990,4.5,39.62 cm (15.6 inch) Display,1 Year International Travelers Warranty (ITW),Yes,Acer,No,Not Mentioned,8,SSD,AMD,Ryzen 5,Windows 10
HP 15s Dual Core 3020e ,22990,4.0,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,No,HP,No,Not Mentioned,4,HDD,AMD,Not Metioned,Windows 10
HP 15s Core i3 10th Gen ,41990,3.9,39.62 cm (15.6 Inches) Display,1 Year Onsite Warranty,No,HP,No,10,8,Both,Intel,i3,Windows 10
Lenovo Legion Y540 Core i5 9th Gen ,57990,4.5,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,Yes,Lenovo,No,9,8,Both,Intel,i5,Windows 10
HP Ryzen 5 Quad Core ,36990,4.2,35.56 cm (14 inch) Display,1 Year Onsite Warranty,No,HP,No,Not Mentioned,8,HDD,AMD,Ryzen 5,Windows 10
MSI GF63 Thin Core i5 9th Gen ,52990,4.5,39.62 cm (15.6 inch) Display,2 Years Carry In Warranty,Yes,MSI,No,9,8,SSD,Intel,i5,Windows 10
ASUS VivoBook Ultra 14 Core i5 10th Gen ,49890,4.5,35.56 cm (14 inch) Display,1 Year Onsite Warranty,No,Asus,No,10,8,SSD,Intel,i5,Windows 10
Lenovo Ideapad S145 Core i3 10th Gen ,32990,4.1,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,No,Lenovo,No,10,4,SSD,Intel,i3,Windows 10
MSI Modern 14 Core i3 10th Gen ,39990,4.4,35.56 cm (14 inch) Display,1 Year Carry In Warranty,No,MSI,No,10,8,SSD,Intel,i3,Windows 10
HP 15s Core i5 11th Gen ,61990,5.0,39.62 cm (15.6 inch) Display,1 Year Manufacturer Warranty on the Device from the Date of Purchase,Yes,HP,No,10,8,SSD,Intel,i5,Windows 10
