Price,Rating,graphic_card,Company,touchscreen,Gen_type,Ram_in_gb,Disk_drive,Processor_Name,processor_type,Operating_System
49990,4.4,Yes,Acer,No,9,8,SSD,Intel,i5,Windows 10
33990,4.2,No,HP,No,Not Mentioned,8,HDD,AMD,Ryzen 3,Windows 10
27990,4.2,No,Lenovo,No,Not Mentioned,4,HDD,AMD,Ryzen 3,Windows 10
36990,4.7,No,HP,No,Not Mentioned,8,SSD,AMD,Ryzen 3,Windows 10
63990,4.5,Yes,Lenovo,No,Not Mentioned,8,SSD,AMD,Ryzen 5,Windows 10
25990,4.1,No,Acer,No,Not Mentioned,4,HDD,AMD,Ryzen 3,Windows 10
43990,4.4,No,HP,No,3,8,Both,AMD,Ryzen 5,Windows 10
49990,4.2,Yes,HP,No,Not Mentioned,8,HDD,AMD,Ryzen 5,Windows 10
35990,4.2,No,HP,No,10,8,SSD,Intel,i3,Windows 10
25990,4.0,No,Lenovo,No,Not Mentioned,4,HDD,AMD,Ryzen 3,Windows 10
46990,4.5,No,Asus,No,Not Mentioned,8,SSD,AMD,Ryzen 5,Windows 10
54990,4.5,Yes,HP,No,Not Mentioned,8,SSD,AMD,Ryzen 5,Windows 10
39990,4.4,No,HP,No,Not Mentioned,8,Both,AMD,Ryzen 3,Windows 10
46990,4.4,No,Asus,No,Not Mentioned,8,SSD,AMD,Ryzen 5,Windows 10
25990,4.0,No,HP,No,Not Mentioned,8,SSD,Intel,Celeron,Windows 10
49990,4.3,Yes,Asus,No,10,8,SSD,Intel,i5,Windows 10
56990,5.0,No,Lenovo,Yes,4,8,SSD,AMD,Ryzen 5,Windows 10
47990,4.4,No,HP,Yes,10,8,SSD,Intel,i3,Windows 10
41999,4.3,No,Asus,No,10,8,SSD,Intel,i5,Windows 10
55990,4.5,Yes,Acer,No,Not Mentioned,8,SSD,AMD,Ryzen 5,Windows 10
22990,4.0,No,HP,No,Not Mentioned,4,HDD,AMD,Not Metioned,Windows 10
41990,3.9,No,HP,No,10,8,Both,Intel,i3,Windows 10
57990,4.5,Yes,Lenovo,No,9,8,Both,Intel,i5,Windows 10
36990,4.2,No,HP,No,Not Mentioned,8,HDD,AMD,Ryzen 5,Windows 10
52990,4.5,Yes,MSI,No,9,8,SSD,Intel,i5,Windows 10
49890,4.5,No,Asus,No,10,8,SSD,Intel,i5,Windows 10
32990,4.1,No,Lenovo,No,10,4,SSD,Intel,i3,Windows 10
39990,4.4,No,MSI,No,10,8,SSD,Intel,i3,Windows 10
61990,5.0,Yes,HP,No,10,8,SSD,Intel,i5,Windows 10
57990,4.2,Yes,Lenovo,No,10,8,Both,Intel,i5,Windows 10
44999,4.3,No,Asus,No,10,8,SSD,Intel,i5,Windows 10
50890,4.5,Yes,Acer,No,Not Mentioned,8,SSD,AMD,Ryzen 5,Windows 10
25990,4.0,No,Lenovo,No,Not Mentioned,4,HDD,AMD,APU,Windows 10
52990,4.4,Yes,MSI,No,9,8,SSD,Intel,i5,Windows 10
36790,4.2,No,Dell,No,Not Mentioned,4,Both,AMD,Ryzen 3,Windows 10
25690,3.9,No,HP,No,Not Mentioned,4,HDD,AMD,Athlon,Windows 10
34990,4.8,No,Lenovo,No,10,8,SSD,Intel,i3,Windows 10
61874,4.4,No,Dell,No,10,8,SSD,Intel,i5,Windows 10
60990,4.9,No,Lenovo,No,10,8,SSD,Intel,i5,Windows 10
31490,4.4,No,Dell,No,Not Mentioned,4,SSD,Intel,Pentium,Windows 10
25990,3.9,No,HP,No,Not Mentioned,4,HDD,Not Metioned,Not Metioned,Windows 10
109990,4.8,No,Apple,No,Not Mentioned,8,SSD,Not Metioned,Not Metioned,Mac
49990,4.5,No,Lenovo,No,5,8,SSD,AMD,Ryzen 5,Windows 10
114990,4.8,No,Apple,No,Not Mentioned,8,SSD,Not Metioned,Not Metioned,Mac
40990,4.0,No,Lenovo,No,10,8,HDD,Intel,i5,Windows 10
44990,4.4,No,HP,Yes,10,8,SSD,Intel,i3,Windows 10
60990,4.2,Yes,HP,No,10,8,Both,Intel,i5,Windows 10
46990,4.1,No,Lenovo,No,10,8,SSD,Intel,i5,Windows 10
53990,4.4,No,Asus,No,10,8,SSD,Intel,i5,Windows 10
58990,4.9,No,Lenovo,No,10,8,SSD,Intel,i5,Windows 10
35990,4.4,No,HP,No,Not Mentioned,8,SSD,AMD,Ryzen 3,Windows 10
20990,3.9,No,Asus,No,Not Mentioned,4,HDD,Intel,Celeron,Windows 10
61990,4.4,Yes,Lenovo,No,10,8,Both,Intel,i5,Windows 10
74990,4.7,No,Apple,No,5,8,SSD,Intel,i5,Mac
37990,4.2,No,HP,No,10,8,SSD,Intel,i3,Windows 10
43990,4.0,No,Lenovo,No,10,8,HDD,Intel,i5,Windows 10
23990,4.0,No,HP,No,Not Mentioned,4,HDD,Intel,Celeron,Windows 10
48990,4.3,No,HP,Yes,10,8,SSD,Intel,i3,Windows 10
71990,4.6,Yes,MSI,No,9,16,SSD,Intel,i5,Windows 10
49999,4.4,Yes,Asus,No,10,8,SSD,Intel,i5,Windows 10
32990,4.204958677685946,No,Acer,No,10,4,SSD,Intel,i3,Windows 10
43990,4.4,No,Lenovo,Yes,10,4,SSD,Intel,i3,Windows 10
57990,4.5,No,Lenovo,No,Not Mentioned,8,SSD,AMD,Ryzen 7,Windows 10
